APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-x_o_w,APPVAL_RECS_bert-x_o_w,FOA_RECS_bert-x_o_w
10116392,f,w,"9977589,9260440,9260653,9257892,9257894","2152500.0,2187500.0,2187500.0,2187500.0,2187500.0","RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019,RFA-ES-15-019"
9552433,m,b,"8576226,9145291,9139742,9143830,8913705","1350000.0,1330000.0,1310000.0,1330000.0,1330000.0","RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006,RFA-RM-12-006"
8907762,m,h,"9522144,9352233,9177967,9944639,10019535","500000.0,500000.0,524000.0,492000.0,246000.0","RFA-DK-15-016,RFA-DK-15-016,RFA-DK-15-016,RFA-DK-15-016,RFA-DK-18-028"
7691839,f,w,"8118225,8523444,8118229,8118220,8330383","280000.0,274000.0,280000.0,280000.0,280000.0","RFA-RM-09-009,RFA-RM-09-009,RFA-RM-09-009,RFA-RM-09-009,RFA-RM-09-009"
7914250,m,w,"9763440,8773824,9996470,9999437,9117365","2152500.0,2327500.0,2152500.0,2152500.0,2292500.0","RFA-AI-13-006,RFA-AI-13-006,RFA-AI-13-006,RFA-AI-13-006,RFA-AI-13-006"
8903741,f,w,"9332088,9332090,8793021,8793020,8919191","9375000.0,9375000.0,9975000.0,9975000.0,9975000.0","RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001,RFA-AA-14-001"
10207339,m,a,"10310692,10441633,10075866,10075865,10075864","1284000.0,1392000.0,1392000.0,1392000.0,1392000.0","RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003,RFA-AA-19-003"
10302868,f,w,"10704119,10518992,10704763,10704606,10689318","103000.0,107000.0,103000.0,103000.0,103000.0","RFA-AG-22-027,RFA-AG-22-027,RFA-AG-22-027,RFA-AG-22-027,RFA-AG-22-027"
8070452,m,w,"8461113,8324319,8065464,8065465,7798610","607500.0,630000.0,648000.0,648000.0,648000.0","RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010,RFA-AI-08-010"
9551105,m,w,"9738000,9551088,9744823,9744824,9744825","1230000.0,1250000.0,1230000.0,1230000.0,1230000.0","RFA-NS-15-002,RFA-NS-15-002,RFA-NS-15-002,RFA-NS-15-002,RFA-NS-15-002"
