APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-xxxxx_o_w,APPVAL_RECS_bert-xxxxx_o_w,FOA_RECS_bert-xxxxx_o_w
8326059,f,w,"8738689,8510675,8707498,8352559,8352942","166250.0,168750.0,166250.0,171250.0,171250.0","RFA-RR-11-005,RFA-RR-11-005,RFA-RR-11-005,RFA-RR-11-005,RFA-RR-11-005"
9186392,m,h,"9902085,9902838,9902788,9902839,9756344","184500.0,184500.0,184500.0,184500.0,246000.0","RFA-CA-19-027,RFA-CA-19-025,RFA-CA-19-025,RFA-CA-19-025,RFA-CA-17-010"
8070372,m,a,"10021470,10023955,9869581,10266322,10245239","615000.0,615000.0,615000.0,615000.0,580000.0","RFA-RM-19-001,RFA-RM-19-001,RFA-RM-19-001,RFA-RM-19-001,RFA-RM-19-001"
8470149,f,w,"7690766,7924045,8139073,7681771,8264209","365000.0,360000.0,350000.0,365000.0,342500.0","RFA-DA-08-025,RFA-DA-07-010,RFA-DA-07-010,RFA-DA-07-010,RFA-DA-08-024"
9322727,f,w,"10558726,10332729,10112915,10112917,10112921","1802500.0,1872500.0,2030000.0,2030000.0,2030000.0","RFA-ES-18-002,RFA-ES-18-002,RFA-ES-18-002,RFA-ES-18-002,RFA-ES-18-002"
9970377,f,w,"8179336,8303232,8274637,8277886,8179494","280000.0,274000.0,274000.0,274000.0,280000.0","RFA-MH-11-031,RFA-MH-11-031,RFA-MH-11-031,RFA-MH-11-031,RFA-MH-11-031"
9965898,m,w,"9993465,9933108,9745003,9784894,9872847","61500.0,61500.0,61500.0,61500.0,61500.0","RFA-OD-18-001,RFA-OD-18-001,RFA-OD-18-001,RFA-OD-18-001,RFA-OD-18-001"
8738826,m,w,"10213480,10437469,10437534,10413651,10355901","290000.0,267500.0,267500.0,160500.0,160500.0","RFA-CA-19-049,RFA-CA-19-049,RFA-CA-19-049,RFA-CA-21-007,RFA-CA-21-007"
10809408,m,w,"10532596,10078842,9882207,10574601,10553643","1070000.0,3424000.0,3936000.0,3296000.0,3296000.0","RFA-FD-22-003,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
9547568,m,w,"9134024,9483808,9484363,9476462,9547570","982500.0,937500.0,937500.0,937500.0,937500.0","RFA-OD-11-003,RFA-OD-11-003,RFA-OD-11-003,RFA-OD-11-003,RFA-OD-11-003"
